,,School Type,NCES - School ID,,School Name,School Address,Latitude,Longitude,Tags (State)
,,High,10248001696,,Albert P Brewer High School,"59 Eva Rd, Somerville, AL 35670",34.4135312,-86.7042085,AL
,,Elementary,10000500889,,Albertville Elementary School,"145 W End Dr, Albertville, AL 35950",34.252217,-86.223229,AL
,,High,10000500871,,Albertville High School,"402 E McCord Ave, Albertville, AL 35950",34.2638238,-86.2066771,AL
,,Pre-K,10000501616,,Albertville Kindergarten and Pre-school,"257 Country Club Rd, Albertville, AL 35951",34.2898031,-86.1932925,AL
,,Middle,10000500870,,Albertville Middle School,"600 E Alabama Ave, Albertville, AL 35950",34.260126,-86.2062403,AL
,,Pre-K- Middle school,10000500870,,Albertville Primary School,"1100 Horton Rd, Albertville, AL 35950",34.2532384,-86.2218844,AL
,,Middle,10003000001,,Alexander City Middle School,"359 State St, Alexander City, AL 35010",32.9452861,-85.9487372,AL
,,Elementary,10054001747,,Alexandria Elementary School,"2525 Alexandria-Wellington Rd, Alexandria, AL 36250",33.7757548,-85.8835613,AL
,,High,10054000232,,Alexandria High School,"353 Stadium Dr, Alexandria, AL 36250",33.7751297,-85.8870378,AL
,,Middle,10054002429,,Alexandria Middle School,"353 Stadium Dr, Alexandria, AL 36250",33.7751297,-85.8870378,AL
,,Elementary,10273001097,,Aliceville Elementary School,"800 Columbus Rd, Aliceville, AL 35442",33.1350379,-88.1549452,AL
,,High,10273001098,,Aliceville High School,"417 3rd St SE, Aliceville, AL 35442",33.1234934,-88.1472373,AL
,,Middle,10273001099,,Aliceville Middle School,"1000 Columbus Rd, Aliceville, AL 35442",33.1369337,-88.1554406,AL
,,Alternative High,10201000762,,Allen Thornton Career Technical Center,"7275 US-72, Killen, AL 35645",34.8607636,-87.4425531,AL
,,Elementary,10237000572,,Allentown Elementary School,"10330 Howells Ferry Rd, Semmes, AL 36575",30.7476148,-88.2862168,AL
,,Elementary-High School,10042000670,,Allgood Alternative School,"45 Community Rd, Oneonta, AL 35121",33.9055259,-86.5125993,AL
,,High,10237000989,,Alma Bryant High School,"14001 Hurricane Blvd, Irvington, AL 36544",30.4408703,-88.277794,AL
,,Pre-K- Middle school,010114000819,,Alternative School,"155 20th Street NE Fort Payne, AL 35967",34.4605767,-85.7034777,AL
,,High,010225000852,,Amelia L Johnson High School,"201 Coates Ave, Thomaston, AL 36783",32.2794505,-87.6316908,AL
,,Elementary,10006001467,,Andalusia Elementary School,"1501 Western Bypass, Andalusia, AL 36420",31.2846289,-86.5024766,AL
,,High,10006000007,,Andalusia High School,"701 3rd St, Andalusia, AL 36420",31.3156813,-86.469363,AL
,,Middle,10006000008,,Andalusia Junior High,"701 3rd St, Andalusia, AL 36420",31.3156813,-86.469363,AL
,,Elementary,10237001559,,Anna F Booth Elementary School,"17001 Hurricane Blvd, Irvington, AL 36544",30.4427138,-88.2905889,AL
,,Alternative High,010009001246,,Anniston City Boot Camp School,"4804 McClellan Blvd Anniston, AL 36206-1863",33.7084067,-85.8212347,AL
,,High,10009000011,,Anniston High School,"1301 Woodstock Ave, Anniston, AL 36207",33.6611106,-85.8211047,AL
,,Middle,10009001725,,Anniston Middle School,"4800 McClellan Blvd, Anniston, AL 36206",33.7081397,-85.8226438,AL
,,High,10042000203,,Appalachian High School,"350 County Hwy 12, Oneonta, AL 35121",33.8882857,-86.3950176,AL
,,Elementary,10010000022,,Arab Elementary School,"241 8th Ave NE, Arab, AL 35016",34.3295087,-86.49389,AL
,,High,10010000028,,Arab High School,"511 Arabian Dr NE, Arab, AL 35016",34.3298089,-86.4892304,AL
,,Middle,10010000027,,Arab Junior High School,"911 Old Cullman Rd SW, Arab, AL 35016",34.3126845,-86.511374,AL
,,Elementary,10010000025,,Arab Primary School,"121 Mimosa St NE, Arab, AL 35016",34.3349571,-86.496575,AL
,,Elementary,10336001251,,Arcadia Elementary School,"3740 Arcadia Dr, Tuscaloosa, AL 35404",33.1990235,-87.4886002,AL
,,High,10210000797,,Ardmore High School,"30285 Ardmore Ave, Ardmore, AL 35739",34.9883679,-86.8477189,AL
,,High,10105000388,,Ariton High School,"264 Creel Richardson St, Ariton, AL 36311",31.6021893,-85.7210568,AL
,,Middle,10039001649,,Arrington Middle School,"2101 Jefferson Ave SW, Birmingham, AL 35211",33.474395,-86.8707256,AL
,,Elementary,10000602209,,Asbury Elementary School,"1966 Asbury Rd, Albertville, AL 35951",34.3621724,-86.1422482,AL
,,High,10000600872,,Asbury High School,"1990 Asbury Rd, Albertville, AL 35951",34.3621176,-86.1393531,AL
,,Elementary,10177001668,,Ashford Elementary School,"100 Barfield St, Ashford, AL 36312",31.1766962,-85.2295875,AL
,,High,10177000611,,Ashford High School,"607 Church St, Ashford, AL 36312",31.183804,-85.232457,AL
,,Elementary,10075000307,,Ashland Elementary School,"223 3rd St SW, Ashland, Al 36251",33.2706544,-85.8394754,AL
,,Elementary,10306201622,,Ashville Elementary School,"33225 US-231, Ashville, AL 35953",33.8196325,-86.2656686,AL
,,High,10306201362,,Ashville High School,"33215 US-231, Ashville, AL 35953",33.8195218,-86.2677965,AL
,,Middle,10306200322,,Ashville Middle School,"33221 US-231, Ashville, AL 35953",33.81949,-86.2666016,AL
,,Elementary,10012001471,,Athens Elementary School,"601 S Clinton St, Athens, AL 35611",34.7961424,-86.9671016,AL
,,High,10012001472,,Athens High School,"655 US-31 N, Athens, AL 35611",34.8137245,-86.9499079,AL
,,Pre-K/High school,10012000522,,Athens Intermediate School,"1916 US Hwy 72 W, Athens, AL 35611",34.7932518,-86.9966569,AL
,,Middle,10012001473,,Athens Middle School,"100 US-31, Athens, AL 35611",34.8033631,-86.9498997,AL
,,Elementary,10018000035,,Attalla Elementary School,"300 Cullman Ave, Attalla, AL 35954",33.9989358,-86.1265951,AL
,,Elementary,10021000053,,Auburn Early Education Center,"721 E University Dr, Auburn, AL 36830",32.5859663,-85.4693832,AL
,,High,10021000036,,Auburn High School,"1701 E Samford Ave, Auburn, AL 36830",32.6037816,-85.4463819,AL
,,,,,,,,,
,,,,,,,,,
,,Middle,10021000037,,Auburn Junior High School,"405 S Dean Rd, Auburn, AL 36830",32.5962155,-85.4632813,AL
,,Pre-K/High school,10237001618,,Augusta Evans School,"6301 Biloxi Ave, Mobile, AL 36608",30.705182,-88.202061,AL
,,High,10117000426,,Austin High School,"3004 Modaus Rd SW, Decatur, AL 35603",34.5612363,-87.0473922,AL
,,Middle,10117002456,,Austin Junior High School,"1625 Danville Rd SW, Decatur, AL 35601",34.5795215,-87.0071745,AL
,,Middle,010024000050,,Prattville Intermediate School,"1020 Honeysuckle Dr, Prattville, AL 36067",32.454491,-86.4515428,AL
,,Middle,10117000081,,Austin Middle School,"2715 Danville Rd SW, Decatur, AL 35603",34.5596031,-87.0198661,AL
,,Elementary,10117000427,,Austinville Elementary School,"2320 Clara Ave SW, Decatur, AL 35601",34.5677117,-86.9969602,AL
,,Elementary-High School,10117000081,,Autauga County Alternative School,"819 Cardinal Ln, Prattville, AL 36067",32.4550319,-86.4542894,AL
,,High,10024000590,,Autauga County Technology Center (Autauga Vocational School),"1301 Upper Kingston Rd, Prattville, AL 36067",32.5001761,-86.4734665,AL
,,Elementary-High School,10024001408,,Autaugaville School,"2708 Dutch Bend St, Autaugaville, AL 36003",32.4351857,-86.6611969,AL
,,Elementary,10039000103,,Avondale Elementary School,"4000 8th Ct S, Birmingham, AL 35222",33.5170262,-86.7714483,AL
,,Elementary,10024000047,,Prattville Elementary School,"134 Patrick St #4499, Prattville, AL 36066",32.4542574,-86.4558108,AL
,,High,10318001210,,B. B. Comer Memorial High School,"801 Seminole Ave, Sylacauga, AL 35150",33.1789696,-86.2578399,AL
,,Elementary,10192000684,,Bagley Elementary School,"8581 Tate Mill Rd, Dora, AL 35062",33.754817,-86.9905206,AL
,,High,10237000899,,Baker High School,"8901 Airport Blvd, Mobile, AL 36608",30.6701189,-88.2522024,AL
,,Middle,10243001776,,Baldwin Art And Academics Magnet,"4000 8th Ct S, Birmingham, AL 35222",33.5170262,-86.7714483,AL
,,High,10027001810,,Baldwin County High School,"1 Tiger Dr, Bay Minette, AL 36507",30.892003,-87.7954673,AL
,,Alternative High,10027002443,,Baldwin County Virtual School,"450 Fairhope Avenue Fairhope, AL 36532",30.5219234,-87.9015443,AL
,,Elementary,10117000432,,Banks Caddell Elementary School,"211 Gordon Dr SE, Decatur, AL 35601",34.599348,-86.9840707,AL
,,Elementary,10279001110,,Banks School,"9769 N US Highway 29 Banks, AL 36005",31.8178899,-85.8383057,AL
,,High,10030000074,,Barbour County High School,"165 Midway St, Clayton, AL 36016",31.8687832,-85.4462759,AL
,,Elementary,10030001641,,Barbour County Intermediate School,"81 Victoria St, Louisville, AL 36048",31.7787346,-85.550836,AL
,,Elementary,10030001478,,Barbour County Primary School,"168 Western Bypass, Clayton, AL 36016",31.8725642,-85.4603688,AL
,,Elementary,10173000328,,Barkley Bridge Elementary School,"2333 Barkley Bridge Rd SW, Hartselle, AL 35640",34.4189137,-86.9488746,AL
,,Elementary,10039000106,,Barrett Elementary School,"7601 Division Ave, Birmingham, AL 35206",33.5597267,-86.7282189,AL
,,Elementary,10027001708,,Bay Minette Elementary School,"800 Blackburn Avenue, Bay Minette, AL 36507",30.8923463,-87.7758139,AL
,,Middle,10027001859,,Bay Minette Middle School,"1311 W 13th St, Bay Minette, AL 36507",30.8936665,-87.7821951,AL
,,Elementary,10318000577,,BB Comer Memorial Elementary School,"803 Seminole Ave, Sylacauga, AL 35150",33.1791333,-86.258911,AL
,,Elementary,10243000991,,Bear Exploration Center,"2525 Churchill Dr, Montgomery, AL 36111",32.3369302,-86.2716835,AL
,,Elementary,10207000284,,Beauregard Elementary School,"300 Lee Rd 431, Opelika, AL 36804",32.5487571,-85.368001,AL
,,High,10207000790,,Beauregard High School,"7343 AL-51, Opelika, AL 36804",32.5512668,-85.3719232,AL
,,High,10159000541,,Belgreen High School,"14220 AL-187, Russellville, AL 35653",34.4748322,-87.8655705,AL
,,Elementary-High School,10309001194,,Bell Brown Career Technical Center,"AL-28, Livingston, AL 35470",32.5844745,-88.1871102,AL
,,Middle,10243000993,,Bellingrath Middle School,"3350 S Court St, Montgomery, AL 36105",32.3471153,-86.3099419,AL
,,High,10237000898,,Ben C Rain High School,"3125 Dauphin Island Pkwy, Mobile, AL 36605",30.6075954,-88.0738917,AL
,,Elementary,10117000437,,Benjamin Davis Elementary School,"417 Monroe Dr NW, Decatur, AL 35601",34.6106716,-87.0071688,AL
,,High,10003000003,,Benjamin Russell High School,"225 Heard Blvd, Alexander City, AL 35010",32.9379599,-85.9504932,AL
,,Elementary,10147001512,,Berry Elementary School,"341 School Ave, Berry, AL 35546",33.6645796,-87.6012797,AL
,,High,10147000521,,Berry High School,"18242 AL-18, Berry, AL 35546",33.6629629,-87.5989647,AL
,,Middle,10000700337,,Berry Middle School,"4500 Jaguar Dr, Birmingham, AL 35242",33.3955868,-86.732443,AL
,,High,10033001267,,Bessemer Center For Technology,"High School Rd, Bessemer, AL 35022",33.4475721,-86.9965369,AL
,,High,10033000087,,Bessemer City High School,"4950 Premiere Pkwy, Bessemer, AL 35020",33.3721239,-87.0005649,AL
,,Middle,10033000086,,Bessemer City Middle School,"100 High School Rd, Bessemer, AL 35020",33.4475721,-86.9965369,AL
,,Elementary,10207000285,,Beulah Elementary School,"4747 Lee Rd 270, Valley, AL 36854",32.7131485,-85.1885139,AL
,,High,10207000791,,Beulah High School,"4848 Lee Rd 270, Valley, AL 36854",32.7090284,-85.1887442,AL
,,Middle,10123001499,,Beverlye Intermediate School,"1025 S Beverlye Rd, Dothan, AL 36301",31.1945519,-85.3531892,AL
,,Academy,10036000669,,Bibb County Career Academy,"17191 AL-5, West Blocton, AL 35184",33.0515365,-87.1357628,AL
,,High,10036000092,,Bibb County High School,Bibb County High School,32.9478068,-87.1423441,AL
,,Elementary,10339002350,,Big Sandy Elementary,"12058 Upper Hull Rd, Tuscaloosa, AL 35405",33.0542225,-87.5890433,AL
,,High,10024000045,,Billingsley High School,"2446 Co Rd 77, Billingsley, AL 36006",32.6639369,-86.6996887,AL
,,Elementary,10180000618,,Blossomwood Elementary School,"1321 Woodmont Ave SE, Huntsville, AL 35801",34.7231906,-86.5664431,AL
,,High,10042000682,,Blount County Career Technical Center,"61500 US-231, Cleveland, AL 35049",33.9915265,-86.5617691,AL
,,Pre-K -12,10042000676,,Blount County Learning Center,"189 Horton Ln, Cleveland, AL 35049",33.9927247,-86.5688493,AL
,,Elementary,10243002084,,Blount Elementary School,"1650 Ray Thorington Rd, Montgomery, AL 36117",32.3107681,-86.1321631,AL
,,Elementary,10042000205,,Blountsville Elementary School,"260 Page St, Blountsville, AL 35031",34.0849921,-86.5860442,AL
,,Elementary,10210002164,,Blue Springs Elementary School,"16787 Hardy Rd, Athens, AL 35611",34.7977007,-87.1536654,AL
,,Elementary,10000701738,,Bluff Park Elementary School,"569 Park Ave, Hoover, AL 35226",33.4101516,-86.8545787,AL
,,Elementary,10001201781,,Boaz Elementary School,"362 Collier St, Boaz, AL 35957",34.2061819,-86.1791271,AL
,,High,10001200874,,Boaz High School,"907 Brown St, Boaz, AL 35957",34.2130496,-86.164605,AL
,,Elementary,10001201630,,Boaz Intermediate School,"11 Newt Parker Dr, Boaz, AL 35957",34.2121573,-86.1582454,AL
,,Middle,10001200123,,Boaz Middle School,"140 Newt Parker Dr, Boaz, AL 35957",34.2149577,-86.1618228,AL
,,Elementary,10060000268,,Bob Harding-Shawmut Elementary,"3301 23rd Dr, Valley, AL 36854",32.8387981,-85.1832795,AL
,,High,10000800831,,Bob Jones High School,"650 Hughes Rd, Madison, AL 35758",34.7189111,-86.7457625,AL
,,High,10219001811,,Booker T Washington High,"3803 W Martin Luther King Hwy, Tuskegee, AL 36083",32.3995326,-85.7339734,AL
,,High,10243000504,,Booker T Washington Magnet High School,"3315 Hayneville Rd, Montgomery, AL 36108",32.3483036,-86.3555367,AL
,,Middle,10237000901,,Booker T Washington Middle School,"1961 Andrews St, Mobile, AL 36617",30.702682,-88.0839409,AL
,,Middle,10192000689,,Bragg Middle School,"840 Ash Ave, Gardendale, AL 35071",33.6469626,-86.8171456,AL
,,Elementary,10111000395,,Brantley Elementary School,"5585 Water Ave, Selma, AL 36703",32.4241531,-86.9608986,AL
,,High,10096000365,,Brantley High School,"8879 N Main St, Brantley, AL 36009",31.5881902,-86.2540808,AL
,,Elementary,10237002083,,Breitling Elementary School,"8350 Grand Bay Wilmer Rd, Grand Bay, AL 36541",30.5171597,-88.3362283,AL
,,Elementary,10036000095,,Brent Elementary School,"160 4th St, Brent, AL 35034",32.9423934,-87.1621565,AL
,,Middle,10243001392,,Brewbaker Intermediate School,"4455 Brewbaker Dr Montgomery, AL 36116-4299",32.3202877,-86.2189466,AL
,,Middle,10243001563,,Brewbaker Middle School,"4425 Brewbaker Dr, Montgomery, AL 36116",32.3215211,-86.2187877,AL
,,Elementary,10243001753,,Brewbaker Primary School,"4445 Brewbaker Dr, Montgomery, AL 36116",32.3199727,-86.2188932,AL
,,High,10243001457,,Brewbaker Technology Magnet High School,"4405 Brewbaker Dr, Montgomery, AL 36116",32.3236754,-86.2196669,AL
,,,10002101832,,Brewer-Porch Children's Center,"2501 Woodland Rd, Tuscaloosa, AL 35404",33.1872161,-87.4818701,AL
,,Elementary,10045000214,,Brewton Elementary School,"901 Douglas Ave, Brewton, AL 36426",31.1194264,-87.0697629,AL
,,Middle,10045000215,,Brewton Middle School,"1384 Old Castleberry Rd, Brewton, AL 36426",31.1606676,-87.0592185,AL
,,Elementary,10183000654,,Bridgeport Elementary School,"1014 Jacobs Ave, Bridgeport, AL 35740",34.9404495,-85.7208874,AL
,,Middle,10183000655,,Bridgeport Middle School,"620 Jacobs Avenue, Bridgeport, AL 35740",34.944043,-85.714535,AL
,,K - High School,10192000691,,Brighton School,"3400 Brown Cir Brighton, AL 35020",33.4440858,-86.9549107,AL
,,Elementary,10231000861,,Brilliant Elementary School,"10180 AL-129, Brilliant, AL 35548",34.0273846,-87.7626106,AL
,,Elementary,10000600880,,Brindlee Mountain Elementary School,"2233 Shoal Creek Rd, Arab, AL 35016",34.3445728,-86.4422944,AL
,,High,10000601585,,Brindlee Mountain High School,"994 Scant City Rd, Guntersville, AL 35976",34.3768029,-86.4218152,AL
,,Pre-K - Elementary,10000600887,,Brindlee Mountain Primary School,"1050 Scant City Road Guntersville, AL 35976",34.3773409,-86.4224479,AL
,,Elementary,10000702186,,Brock's Gap Intermediate School,"1730 Lake Cyrus Club Dr, Hoover, AL 35244",33.3434476,-86.8887765,AL
,,Elementary,10012001758,,Brookhill Elementary School,"320 Brookhill Dr, Athens, AL 35611",34.7814742,-86.9618709,AL
,,Elementary,10201001545,,Brooks Elementary School,"100 School Ln, Killen, AL 35645",34.8635019,-87.5295011,AL
,,High,10201000764,,Brooks High School,"4300 US-72, Killen, AL 35645",34.8580671,-87.494043,AL
,,Elementary,10192000692,,Brookville Elementary School,"4275 Brookville School Rd, Graysville, AL 35073",33.6310724,-86.9571676,AL
,,Elementary,10339001273,,Brookwood Elementary School,"16049 AL-216, Brookwood, AL 35444",33.2600216,-87.315047,AL
,,Elementary,10249001053,,Brookwood Forest Elementary School,"3701 S Brookwood Rd, Birmingham, AL 35223",33.4804463,-86.7201885,AL
,,High,10339001274,,Brookwood High School,"12250 George Richmond Pkwy, Brookwood, AL 35444",33.2557368,-87.3129213,AL
,,Middle,10339001540,,Brookwood Middle School,"17021 Brookwood Pkwy, Vance, AL 35490",33.210679,-87.282391,AL
,,Elementary,10111001785,,Bruce K Craig Elementary School,"108 Craig Industrial Park, Selma, AL 36701",32.3617523,-86.9880672,AL
,,Elementary,10192000720,,Bryan Elementary School,"600 Kimberly Cut Off Rd, Morris, AL 35116",33.7630985,-86.8026018,AL
,,Middle,10183000656,,Bryant Junior High School,"6645 AL Hwy 73 Bryant, AL 35958",34.9385389,-85.6269855,AL
,,High,10222001683,,Buckhorn High School,"4123 Winchester Rd, New Market, AL 35761",34.87027,-86.456921,AL
,,Middle,10222002163,,Buckhorn Middle School,"4185 Winchester Rd, New Market, AL 35761",34.8718482,-86.4545462,AL
,,Elementary,10339001275,,Buhl Elementary School,"11968 Buhl School Rd, Buhl, AL 35446",33.255803,-87.7518879,AL
,,High,10048000688,,Bullock County Career Technical Center,"304 Blackmon Ave, Union Springs, AL 36089",32.1428919,-85.7126893,AL
,,High,10048000218,,Bullock County High School,"911 Sardis Rd, Union Springs, AL 36089",32.1298174,-85.7228314,AL
,,Middle,10237000990,,Burns Middle School,"6175 Girby Rd, Mobile, AL 36693",30.6170756,-88.1837071,AL
,,Middle,10039002204,,Bush Hills STEAM Academy (Bush K8),"901 16th St W, Birmingham, AL 35208",33.5158774,-86.864926,AL
,,High,10051000690,,Butler County Area Vocational School,"211 School Highlands Road Greenville, AL 36037",31.8150573,-86.6287692,AL
,,Pre-K,10297001149,,Byrd First Class Early Learning Center,"625 Lapsley St Selma, AL 36701-5699",32.4110459,-87.0308416,AL
,,Elementary,10263501733,,C E Hanna Elementary School,"1111 Watson Dr, Oxford, AL 36203",33.5986355,-85.876048,AL
,,High,10162001368,,C I T Y Program,"435 E Chestnut St Gadsden, AL 35903",34.00456,-85.988877,AL
,,Elementary,10315001201,,C L Salter Elementary School,"106 Brecon Access Rd, Talladega, AL 35160",33.4557291,-86.0834394,AL
,,K - High School,10240001087,,C P Carmichael Alternative School,"1323 Veterans Ave, Monroeville, AL 36460",31.4895203,-87.3355721,AL
,,Elementary,10001302402,,Cahaba Elementary School,"301 Parkway Dr, Trussville, AL 35173",33.6273481,-86.6048013,AL
,,Elementary,10237000904,,Calcedeaver Elementary School,"20500 Patillo Rd, Mt Vernon, AL 36560",31.1188515,-88.107669,AL
,,Elementary,10294001145,,Caldwell Elementary School,"905 S Market St, Scottsboro, AL 35768",34.6588779,-86.0321347,AL
,,High,10303001170,,Calera High School,"100 Calera Eagle Dr, Calera, AL 35040",33.0921701,-86.7672468,AL
,,Elementary,10303002199,,Calera Intermediate School,"8454 US-31, Calera, AL 35040",33.0996709,-86.7539836,AL
,,Middle,10303001868,,Calera Middle School,"9178 Co Rd 22, Montevallo, AL 35115",33.144729,-86.7876041,AL
,,K - High School,10054000700,,Calhoun County Alternative School,"1200 Church Ave SE, Jacksonville, AL 36265",33.8014345,-85.7578928,AL
,,High,10054000708,,Calhoun County Career Technical Center,"1200 Church Ave SE, Jacksonville, AL 36265",33.8014345,-85.7578928,AL
,,High,10216000815,,Calhoun High School,"8213 Co Rd 33, Letohatchee, AL 36047",32.0585387,-86.5514412,AL
,,Middle,10237000992,,Calloway Smith Middle School,"350 N Lawrence St, Mobile, AL 36603",30.6972676,-88.0499888,AL
,,Middle,10243000995,,Capitol Heights Middle School,"116 Federal Dr, Montgomery, AL 36107",32.3836483,-86.2714058,AL
,,High,10117002457,,Career Technical Center,"820 20th Avenue Tuscaloosa, AL 35401",33.2076479,-87.561852,AL
,,Elementary,10138000493,,Carlisle Elementary School,"8025 US-431, Boaz, AL 35956",34.1189262,-86.1173383,AL
,,Middle,10243002152,,Carr Middle School,"1610 Ray Thorington Rd, Montgomery, AL 36117",32.3120792,-86.1345493,AL
,,High,10264001080,,Carroll High School,"141 Eagle Way, Ozark, AL 36360",31.4597942,-85.6262226,AL
,,High,10264001386,,Carroll High School Career Center,"227 Faust Ave, Ozark, AL 36360",31.4615181,-85.6297562,AL
,,Elementary,10243000996,,Carver Elementary And Arts Magnet School,"3100 Mobile Dr, Montgomery, AL 36108",32.3487225,-86.3348241,AL
,,Elementary,10258001067,,Carver Primary School,"307 Carver Ave, Opelika, AL 36801",32.6355035,-85.3773193,AL
,,High,10123000443,,Carver School of Mathematics Science and Technology,"1001 Webb Rd, Dothan, AL 36303",31.2363285,-85.3757056,AL
,,High,10243001015,,Carver Senior High School,"2001 W Fairview Ave, Montgomery, AL 36108",32.3493593,-86.3262556,AL
,,Elementary,10021000039,,Cary Woods Elementary School,"715 Sanders St, Auburn, AL 36830",32.6211212,-85.4848864,AL
,,Elementary,10243000998,,Catoma Elementary School,"1760 Mitchell Young Rd, Montgomery, AL 36108",32.3094108,-86.443041,AL
,,Middle,10237001435,,Causey Middle School,"2205 McFarland Rd, Mobile, AL 36695",30.6459228,-88.2566129,AL
,,Elementary,10263501733,,CE Hanna Elementary School,"1111 Watson Dr, Oxford, AL 36203",33.5986355,-85.876048,AL
,,High,10063000274,,Cedar Bluff High School,"3655 Old Hwy 9, Cedar Bluff, AL 35959",34.2196311,-85.6045337,AL
,,Elementary,10210002081,,Cedar Hill Elementary School,"27905 Cedar Hill Rd, Ardmore, AL 35739",34.9781657,-86.8208574,AL
,,Elementary,10297001150,,Cedar Park Elementary School,"1101 Woodrow Ave, Selma, AL 36701",32.4430313,-87.0258255,AL
,,Elementary,10192000694,,Center Point Elementary School,"4801 Indian Trail, Center Point, AL 35215",33.6472756,-86.6875895,AL
,,High,10192000702,,Center Point High School,"1000 Eagle Drive, Center Point, AL 35215",33.6582442,-86.6982436,AL
,,Middle,10027000162,,Central Baldwin Middle School,"24545 AL-59, Loxley, AL 36551",30.5831853,-87.7284582,AL
,,Elementary,10090002074,,Central Elementary School,"95 Co Rd 75, Rockford, AL 35136",33.0062634,-86.200998,AL
,,Elementary,10336001252,,Central Elementary School,"1510 Dinah Washington Ave, Tuscaloosa, AL 35401",33.2000323,-87.57523,AL
,,Elementary,10216000816,,Central Elementary School,"133 Main St, Hayneville, AL 36040",32.1515296,-86.6814497,AL
,,Elementary,10090002074,,Central Elementary School,"95 Co Rd 75, Rockford, AL 35136",33.0062634,-86.200998,AL
,,High,10270002140,,Central Freshman Academy,"2800 Dobbs Dr, Phenix City, AL 36870",32.4855254,-85.038448,AL
,,High,10336001608,,Central High School,"905 15th St, Tuscaloosa, AL 35401",33.1978202,-87.5495517,AL
,,High,10270001088,,Central High School,"2400 Dobbs Dr, Phenix City, AL 36870",32.4857465,-85.0395845,AL
,,High,10216000817,,Central High School,"145 Main St. Hayneville, AL 36040",32.152457,-86.6813317,AL
,,High,10201000765,,Central High School,"3000 Co Rd 200, Florence, AL 35633",34.8969386,-87.797838,AL
,,High,10090001749,,Central High School,"95 Coosa County Road 75, Rockford, AL 35136",33.0064776,-86.2013764,AL
,,High,10075002210,,Central High School of Clay County,"1 Bob Riley Drive, Lineville, AL 36266",33.2907082,-85.7874336,AL
,,Middle,10075002205,,Central Jr High School of Clay County,"1 Bob Riley Drive, Lineville, AL 36266",33.2907082,-85.7874336,AL
,,Elementary,10039000112,,Central Park Elementary School,"4915 Avenue Q, Birmingham, AL 35208",33.4844196,-86.8861193,AL
,,Pre-K- Middle school,10222001684,,Central School,"990 Ryland Pike, Huntsville, AL 35811",34.7647613,-86.4547834,AL
,,Elementary,10063000275,,Centre Elementary School,"725 E Main St, Centre, AL 35960",34.1501463,-85.6700553,AL
,,Middle,10063000276,,Centre Middle School,"1920 E Main St, Centre, AL 35960",34.1358704,-85.6515151,AL
,,Middle,10036000094,,Centreville Middle School,"1621 Montgomery Hwy, Centreville, AL 35042",32.9431651,-87.1150075,AL
,,Alternative High,10027002180,,CF Taylor Alternative School,"19150 Wilters St, Robertsdale, AL 36567",30.552374,-87.6990169,AL
,,Elementary,10192000695,,Chalkville Elementary School,"940 Chalkville School Rd, Center Point, AL 35215",33.6429416,-86.6614232,AL
,,Elementary,10180001773,,Challenger Elementary School,"13555 Chaney Thompson Rd SE, Huntsville, AL 35803",34.61143,-86.5476569,AL
